Date,Open,High,Low,Close,Volume,Stock_Code
1/28/1999 16:00:00,22.5,22.6,22.35,22.4,4038164,0006.HK
1/29/1999 16:00:00,22.45,22.9,22.45,22.7,2566458,0006.HK
2/1/1999 16:00:00,22.6,23.05,22.45,22.9,2521124,0006.HK
2/2/1999 16:00:00,22.7,23.1,22.6,22.9,1497500,0006.HK
2/3/1999 16:00:00,22.75,23,22.65,22.7,1875000,0006.HK
2/4/1999 16:00:00,22.7,22.95,22.6,22.8,2703200,0006.HK
2/5/1999 16:00:00,22.8,22.85,22.55,22.6,2525288,0006.HK
2/8/1999 16:00:00,22.5,22.5,22.35,22.5,2002524,0006.HK
2/9/1999 16:00:00,22.4,22.55,22.35,22.5,2033000,0006.HK
2/10/1999 16:00:00,22.2,22.4,22.2,22.3,1540665,0006.HK
2/11/1999 16:00:00,22.5,22.55,22.15,22.4,2190375,0006.HK
2/12/1999 16:00:00,22.6,22.6,22.4,22.55,1148400,0006.HK
2/15/1999 16:00:00,22.55,22.6,22.25,22.25,1281000,0006.HK
2/19/1999 16:00:00,22.2,22.2,21.9,22.05,2032000,0006.HK
2/22/1999 16:00:00,22.05,22.3,21.95,22.2,2168482,0006.HK
2/23/1999 16:00:00,22.3,22.4,22.1,22.15,1519194,0006.HK
2/24/1999 16:00:00,22.15,22.25,21.95,22.15,2382236,0006.HK
2/25/1999 16:00:00,22.1,22.1,21.9,21.95,2851987,0006.HK
2/26/1999 16:00:00,22.15,22.15,22,22.05,2156643,0006.HK
3/1/1999 16:00:00,22.1,22.15,21.9,22,2539132,0006.HK
3/2/1999 16:00:00,21.9,22.3,21.85,21.85,2563743,0006.HK
3/3/1999 16:00:00,21.9,22.2,21.85,21.95,2037700,0006.HK
3/4/1999 16:00:00,22,22,21.7,21.85,2726690,0006.HK
3/5/1999 16:00:00,22,22.15,21.95,22.05,5297035,0006.HK
3/8/1999 16:00:00,22.3,22.7,22.3,22.45,4290437,0006.HK
3/9/1999 16:00:00,22.5,23.2,22.45,23.15,3344139,0006.HK
3/10/1999 16:00:00,23.2,23.95,23.1,23.8,5603652,0006.HK
3/11/1999 16:00:00,23.6,23.9,23.5,23.6,1924498,0006.HK
3/12/1999 16:00:00,23.85,24.2,23.85,24,3156674,0006.HK
3/15/1999 16:00:00,23.9,24.05,23.75,23.75,1419327,0006.HK
3/16/1999 16:00:00,23.85,24,23.8,23.9,1872110,0006.HK
3/17/1999 16:00:00,23.9,24,23.85,23.9,1399816,0006.HK
3/18/1999 16:00:00,23.9,23.95,23.35,23.5,1769030,0006.HK
3/19/1999 16:00:00,23.7,24,23.5,23.9,3245655,0006.HK
3/22/1999 16:00:00,23.7,24.35,23.7,24.35,3074710,0006.HK
3/23/1999 16:00:00,24.2,24.25,24,24.05,1953694,0006.HK
3/24/1999 16:00:00,23.85,23.85,23.45,23.55,2858772,0006.HK
3/25/1999 16:00:00,23.85,24,23.7,24,2220717,0006.HK
3/26/1999 16:00:00,24,24,23.6,23.7,1710351,0006.HK
